,ltable_Name,ltable_Phone,ltable_Zipcode,ltable_State,ltable_City,ltable_Address,ltable_Delivery,ltable_Takeout,ltable_Outdoor_seating,rtable_Name,rtable_Phone,rtable_Zipcode,rtable_State,rtable_City,rtable_Address,rtable_Delivery,rtable_Takeout,rtable_Outdoor_seating,Label,predicted,restaurant_name,phone,zipcode,state,city,address,delivery,takeout,outdoor_seating
336,Old Jerusalem Restaurant,(415) 642-5958,94110,CA,San Francisco,2976 Mission St,0,1,0,Old Jerusalem Restaurant,(415) 642-5958,94110,CA,San Francisco,2976 Mission District Street,0,1,0,1,1,,,,,,,,,
338,Cicchetti,(206) 859-4155,98102,WA,Seattle,121 E Boston St,0,1,1,Cicchetti,(206) 859-4155,98102,WA,Seattle,121 E Boston Street,0,0,1,1,1,,,,,,,,,
339,Homeslice,(312) 789-4600,60614,IL,Chicago,938 W Webster,1,1,1,Homeslice,(312) 789-4600,60614,IL,Chicago,938 W Webster Avenue,0,1,1,1,1,,,,,,,,,
342,Atera,(212) 226-1444,10013,NY,New York,77 Worth St,0,0,0,Atera,(212) 226-1444,10013,NY,New York,77 Worth Street,0,0,0,1,1,,,,,,,,,
343,Blue Ribbon Sushi,(212) 343-0404,10012,NY,New York,119 Sullivan St,0,1,0,Blue Ribbon Sushi,(212) 343-0404,10012,NY,New York,119 Sullivan Street,0,1,0,1,1,,,,,,,,,
881,Morimoto,(212) 989-8883,10011,NY,New York,88 10th Ave,0,0,0,Morimoto,(212) 989-8883,10011,NY,New York,88 10th Avenue,1,1,0,1,1,,,,,,,,,
864,Frascati,(415) 928-1406,94109,CA,San Francisco,1901 Hyde St,0,1,0,Frascati Ristorante,(415) 928-1406,94109,CA,San Francisco,1901 Hyde Street,0,0,0,1,1,,,,,,,,,
865,La Lanterna di Vittorio,(212) 529-5945,10012,NY,New York,129 MacDougal St,0,1,1,La Lanterna di Vittorio,(212) 529-5945,10012,NY,New York,129 Macdougal Street,0,0,1,1,1,,,,,,,,,
354,Juliana’s Pizza,(718) 596-6700,11201,NY,Brooklyn,19 Old Fulton St,0,1,1,Juliana's Pizza,(718) 596-6700,11201,NY,Brooklyn,19 Old Fulton Street,0,1,0,1,1,,,,,,,,,
867,Red Bamboo,(212) 260-1212,10012,NY,New York,140 W 4th St,1,1,0,Red Bamboo,(212) 260-1212,10012,NY,New York,140 W 4th Street,1,1,0,1,1,,,,,,,,,
358,Bite Café,(773) 395-2483,60622,IL,Chicago,1035 N Western Ave,0,1,0,Bite Cafe,(773) 395-2483,60622,IL,Chicago,1039 N Western Avenue,0,1,0,1,1,,,,,,,,,
360,Hendrickx Belgian Bread Crafter,(312) 649-6717,60611,IL,Chicago,100 E Walton St,0,1,1,Hendrickx Belgian Bread Crafter,(312) 649-6717,60611,IL,Chicago,1100 E Walton Street Walton Colonnade,0,1,1,1,1,,,,,,,,,
1084,Luzzo’s,(212) 473-7447,10003,NY,New York,211 1st Ave,1,1,0,Luzzo's,(212) 473-7447,10003,NY,New York,211-13 1st Avenue,1,1,0,1,1,,,,,,,,,
874,The Publican,(312) 733-9555,60607,IL,Chicago,837 W Fulton Market,0,0,1,The Publican,(312) 733-9555,60607,IL,Chicago,837 W Fulton Market,0,0,1,1,1,,,,,,,,,
364,DMK Burger Bar,(773) 360-8686,60657,IL,Chicago,2954 N Sheffield Ave,0,1,0,DMK Burger Bar,(773) 360-8686,60657,IL,Chicago,2954 N Sheffield Avenue,0,1,0,1,1,,,,,,,,,
878,Joe’s Pizza,(212) 366-1182,10014,NY,New York,7 Carmine St,1,1,0,Joe's Pizza,(212) 366-1182,10014,NY,New York,7 Carmine Street,1,1,0,1,1,,,,,,,,,
573,The Bad Apple,(773) 360-8406,60618,IL,Chicago,4300 N Lincoln Ave,0,1,1,The Bad Apple,(773) 360-8406,60618,IL,Chicago,4300 N Lincoln Avenue,0,1,1,1,1,,,,,,,,,
369,The Meatball Shop,(212) 982-8895,10002,NY,New York,84 Stanton St,1,1,1,The Meatball Shop,(212) 982-8895,10002,NY,New York,84 Stanton Street,0,0,1,1,1,,,,,,,,,
373,Pica Pica Arepa Kitchen,(628) 400-5744,94103,CA,San Francisco,401 Valencia St,1,1,0,Pica Pica Arepa Kitchen,(414) 400-5453,94103,CA,San Francisco,401 Valencia Street,1,1,0,1,1,,,,,,,,,
1090,Crisp,(773) 697-7610,60657,IL,Chicago,2940 N Broadway Ave,1,1,0,Crisp,(877) 693-8653,60657,IL,Chicago,2940 N Broadway Street,1,1,0,1,1,,,,,,,,,
376,ARAMI,(312) 243-1535,60622,IL,Chicago,1829 W Chicago Ave,1,1,0,Arami,(312) 243-1535,60622,IL,Chicago,1829 W. Chicago Avenue,1,1,0,1,1,,,,,,,,,
891,The Pasta Bowl,(773) 525-2695,60614,IL,Chicago,2434 N Clark St,1,1,0,Pasta Bowl,(773) 525-2695,60614,IL,Chicago,2434 N Clark Street,1,1,0,1,1,,,,,,,,,
893,KUSAKABE,(415) 757-0155,94111,CA,San Francisco,584 Washington St,0,0,0,Kusakabe,(415) 757-0155,94111,CA,San Francisco,584 Washington Street,0,0,0,1,1,,,,,,,,,
382,Boqueria,(212) 343-4255,10012,NY,New York,171 Spring St,1,1,0,Boqueria,(212) 343-4255,10012,NY,New York,171 Spring Street,0,1,0,1,1,,,,,,,,,
832,State Bird Provisions,(415) 795-1272,94115,CA,San Francisco,1529 Fillmore St,0,0,0,State Bird Provisions,(415) 795-1272,94115,CA,San Francisco,1529 Fillmore Street,0,1,0,1,1,,,,,,,,,
387,Ai Fiori,(212) 613-8660,10018,NY,New York,400 5th Ave,0,0,0,Ai Fiori,(212) 613-8660,10018,NY,New York,400 2nd Floor 5th Avenue,0,0,0,1,1,,,,,,,,,
1056,John’s Of Bleecker Street,(212) 243-1680,10014,NY,New York,278 Bleecker St,0,1,0,John's of Bleecker Street,(212) 243-1680,10014,NY,New York,278 Bleecker Street,0,1,0,1,1,,,,,,,,,
902,Pasta Palazzo,(773) 248-1400,60614,IL,Chicago,1966 N Halsted St,0,1,0,Pasta Palazzo,(773) 248-1400,60614,IL,Chicago,1966 N. Halsted Street,0,1,0,1,1,,,,,,,,,
391,Bar Del Corso,(206) 395-2069,98144,WA,Seattle,3057 Beacon Ave S,0,1,0,Bar del Corso,(206) 395-2069,98144,WA,Seattle,3057 Beacon Avenue South,0,1,1,1,1,,,,,,,,,
392,Barolo Ristorante,(206) 770-9000,98101,WA,Seattle,1940 Westlake Ave,0,1,1,Barolo Ristorante,(206) 770-9000,98101,WA,Seattle,1940 Westlake Avenue,0,1,1,1,1,,,,,,,,,
394,Café Orlin,(212) 777-1447,10003,NY,New York,41 St Marks Pl,0,1,1,Cafe Orlin,(212) 777-1447,10003,NY,New York,41 St Marks Place,0,1,1,1,1,,,,,,,,,
395,Doughnut Plant,(212) 505-3700,10002,NY,New York,379 Grand St,0,1,1,Doughnut Plant,(212) 505-3700,10002,NY,New York,379 Grand Street,0,1,0,1,1,,,,,,,,,
1053,Spiegel,(212) 228-2894,10009,NY,New York,26 1st Ave,0,1,0,Spiegel,(212) 228-2894,10009,NY,New York,26 1st Avenue,0,1,1,1,1,,,,,,,,,
909,Commonwealth,(415) 355-1500,94110,CA,San Francisco,2224 Mission St,0,0,0,Commonwealth,(415) 355-1500,94110,CA,San Francisco,2224 Mission District Street,0,0,0,1,1,,,,,,,,,
401,Osteria Via Stato,(312) 642-8450,60654,IL,Chicago,620 N State St,1,1,1,Pizzeria Via Stato,(312) 642-8450,60654,IL,Chicago,620 N State Street,1,1,1,1,1,,,,,,,,,
914,Cafe Reverie,(415) 242-0200,94117,CA,San Francisco,848 Cole St,0,1,1,Reverie Coffee Cafe,(415) 242-0200,94117,CA,San Francisco,848 Cole Street,0,1,1,1,1,,,,,,,,,
405,Blue Front Cafe,(415) 252-5917,94117,CA,San Francisco,1430 Haight St,0,1,0,Blue Front Cafe,(415) 252-5917,94117,CA,San Francisco,1430 Haight Street,0,1,0,1,1,,,,,,,,,
918,Thai Idea Vegetarian,(415) 440-8344,94109,CA,San Francisco,710 Polk St,0,1,0,Thai Idea Vegetarian,(415) 440-8344,94109,CA,San Francisco,710 Polk Street,0,1,0,1,1,,,,,,,,,
407,Bohemian House,(312) 955-0439,60654,IL,Chicago,11 W Illinois St,0,0,0,Bohemian House,(312) 955-0439,60654,IL,Chicago,11 W Illinois Street,0,1,0,1,1,,,,,,,,,
408,Plow,(415) 821-7569,94107,CA,San Francisco,1299 18th St,0,1,1,Plow,(415) 821-7569,94107,CA,San Francisco,1299 18th Street,0,1,1,1,1,,,,,,,,,
409,Kuma’s Corner,(773) 604-8769,60618,IL,Chicago,2900 W Belmont Ave,0,1,1,Kuma's Corner,(773) 604-8769,60618,IL,Chicago,2900 W Belmont Avenue,0,1,1,1,1,,,,,,,,,
924,Cha-An,(212) 228-8030,10003,NY,New York,230 E 9th St,0,1,0,Cha-An,(212) 228-8030,10003,NY,New York,230 E 9th Street,0,1,0,1,1,,,,,,,,,
866,b. Patisserie,(415) 440-1700,94115,CA,San Francisco,2821 California St,0,1,1,B. Patisserie,(415) 440-1700,94115,CA,San Francisco,2821 California Street,0,0,1,1,1,,,,,,,,,
415,The Mill,(415) 345-1953,94117,CA,San Francisco,736 Divisadero St,0,1,1,The Mill,(415) 252-0800,94117,CA,San Francisco,736 Divisadero Street,0,1,1,1,1,,,,,,,,,
930,Arizmendi Bakery,(415) 566-3117,94122,CA,San Francisco,1331 9th Ave,0,1,1,Arizmendi Bakery,(415) 566-3117,94122,CA,San Francisco,1331 9th Avenue,0,1,0,1,1,,,,,,,,,
419,Ruth’s Chris Steak House,(312) 321-2725,60654,IL,Chicago,431 N Dearborn St,0,1,0,Ruth's Chris Steak House,(312) 321-2725,60654,IL,Chicago,431 N Dearborn Street,0,1,0,1,1,,,,,,,,,
932,Rosamunde Sausage Grill,(415) 437-6851,94117,CA,San Francisco,545 Haight St,1,1,0,Rosamunde Sausage Grill,(415) 437-6851,94117,CA,San Francisco,545 Haight Street,0,0,0,1,1,,,,,,,,,
1094,The Little Owl,(212) 741-4695,10014,NY,New York,90 Bedford St,0,0,0,The Little Owl,(212) 741-4695,10014,NY,New York,90 Bedford Street,0,1,0,1,1,,,,,,,,,
423,Annisa,(212) 741-6699,10014,NY,New York,13 Barrow St,0,0,0,Annisa,(212) 741-6699,10014,NY,New York,13 Barrow Street,0,0,0,1,1,,,,,,,,,
425,List,(206) 441-1000,98121,WA,Seattle,2226 1st Ave,0,0,1,List,(206) 441-1000,98121,WA,Seattle,2226 1st Avenue,0,0,1,1,1,,,,,,,,,
1095,Seatown Seabar & Rotisserie,(206) 436-0390,98121,WA,Seattle,2010 Western Ave,0,1,1,Seatown Seabar & Rotisserie,(206) 436-0390,98121,WA,Seattle,2010 Western Avenue,0,1,1,1,1,,,,,,,,,
1037,The Alembic,(415) 666-0822,94117,CA,San Francisco,1725 Haight St,0,0,0,Alembic Bar,(415) 666-0822,94117,CA,San Francisco,1725 Haight Street,0,0,0,1,1,,,,,,,,,
943,Gracias Madre,(415) 683-1346,94110,CA,San Francisco,2211 Mission St,0,1,1,Gracias Madre,(415) 683-1346,94110,CA,San Francisco,2211 Mission District Street,0,1,1,1,1,,,,,,,,,
946,Little Goat Diner,(312) 888-3455,60607,IL,Chicago,820 W Randolph St,0,1,1,Little Goat Diner,(312) 888-3455,60607,IL,Chicago,820 W Randolph Street,0,1,1,1,1,,,,,,,,,
947,The Mermaid Inn,(212) 674-5870,10003,NY,New York,96 2nd Ave,0,0,1,The Mermaid Inn,(212) 674-5870,10003,NY,New York,96 2nd Avenue,0,0,1,1,1,,,,,,,,,
436,Serious Pie & Biscuit,(206) 436-0050,98109,WA,Seattle,401 Westlake Ave N,0,1,0,Serious Pie,(206) 436-0050,98109,WA,Seattle,401 Westlake Avenue N,0,1,0,1,1,,,,,,,,,
438,Tilikum Place Cafe,(206) 282-4830,98121,WA,Seattle,407 Cedar St,0,1,0,Tilikum Place Cafe,(206) 282-4830,98121,WA,Seattle,407 Cedar Street,0,1,0,1,1,,,,,,,,,
953,Johny’s Luncheonette,(212) 243-6230,10001,NY,New York,124 W 25th St,1,1,0,Johny's Grill & Luncheonette,(212) 243-6230,10001,NY,New York,124 W 25th Street,1,1,0,1,1,,,,,,,,,
442,Seven Hills,(415) 775-1550,94109,CA,San Francisco,1550 Hyde St,0,0,0,Seven Hills,(415) 775-1550,94109,CA,San Francisco,1550 Hyde Street,0,0,0,1,1,,,,,,,,,
927,Burma Superstar,(415) 387-2147,94118,CA,San Francisco,309 Clement St,0,1,0,Burma Superstar,(415) 387-2147,94118,CA,San Francisco,309 Clement Street,0,1,0,1,1,,,,,,,,,
962,Palisade,(206) 285-1000,98199,WA,Seattle,2601 W Marina Pl,0,0,1,Palisade,(206) 285-1000,98199,WA,Seattle,2601 West Marina Place,0,1,1,1,1,,,,,,,,,
964,Locanda Verde,(212) 925-3797,10013,NY,New York,377 Greenwich St,0,0,1,Locanda Verde,(212) 925-3797,10013,NY,New York,377 Greenwich Street,0,1,1,1,1,,,,,,,,,
454,Westville Chelsea,(212) 924-2223,10011,NY,New York,246 W 18th St,1,1,1,Westville,(212) 924-2223 (212) 924-2201,10011,NY,New York,246 W 18th Street,1,1,1,1,1,,,,,,,,,
967,Blue Bottle Coffee Co,(510) 653-3394,94103,CA,San Francisco,66 Mint St,0,1,1,Blue Bottle,(415) 495-3394,94103,CA,San Francisco,66 Mint Street,0,1,0,1,1,,,,,,,,,
456,Mana Food Bar,(773) 342-1742,60622,IL,Chicago,1742 W Division St,1,1,1,Mana Food Bar,(773) 342-1742,60622,IL,Chicago,1742 W. Division Street,1,1,1,1,1,,,,,,,,,
457,Sotto Mare,(415) 398-3181,94133,CA,San Francisco,552 Green St,0,1,1,Sotto Mare,(415) 398-3181,94133,CA,San Francisco,552 Green Street,0,1,1,1,1,,,,,,,,,
972,North Pond,(773) 477-5845,60614,IL,Chicago,2610 N Cannon Dr,0,0,0,North Pond,(773) 477-5845,60614,IL,Chicago,2610 N. Cannon Drive,0,1,0,1,1,,,,,,,,,
974,Brooklyn Bagel & Coffee Company,(212) 924-2824,10001,NY,New York,286 8th Ave,1,1,0,Brooklyn Bagel & Coffee Company,(212) 924-2824,10001,NY,New York,286 8th Avenue,1,1,0,1,1,,,,,,,,,
463,Kitchen Story,(415) 525-4905,94114,CA,San Francisco,3499 16th St,1,1,1,Kitchen Story,(415) 525-4905,94114,CA,San Francisco,3499 16th Street,1,1,1,1,1,,,,,,,,,
976,La Grenouille,(212) 752-1495,10022,NY,New York,3 E 52nd St,0,0,0,La Grenouille,(212) 752-1495,10022,NY,New York,3 E 52nd Street,0,1,0,1,1,,,,,,,,,
465,Il Terrazzo Carmine,(206) 467-7797,98104,WA,Seattle,411 1st Ave S,0,1,1,Il Terrazzo Carmine,(206) 467-7797,98104,WA,Seattle,411 1st Avenue South,0,1,1,1,1,,,,,,,,,
979,Sons & Daughters,(415) 391-8311,94108,CA,San Francisco,708 Bush St,0,0,0,Sons & Daughters,(415) 391-8311,94108,CA,San Francisco,708 Bush Street,0,0,0,1,1,,,,,,,,,
980,Universal Cafe,(415) 821-4608,94110,CA,San Francisco,2814 19th St,0,1,1,Universal Cafe,(415) 821-4608,94110,CA,San Francisco,2814 19th Street,0,1,1,1,1,,,,,,,,,
851,Handlebar,(773) 384-9546,60647,IL,Chicago,2311 W North Ave,0,1,1,Handlebar,(773) 384-9546,60647,IL,Chicago,2311 W North Avenue,0,1,1,1,1,,,,,,,,,
988,Degustation,(212) 979-1012,10003,NY,New York,239 E 5th St,0,0,0,Degustation,(212) 979-1012,10003,NY,New York,239 E 5th Street,0,0,0,1,1,,,,,,,,,
800,La Carta de Oaxaca,(206) 782-8722,98107,WA,Seattle,5431 Ballard Ave NW,0,1,1,La Carta de Oaxaca,(206) 782-8722,98107,WA,Seattle,5431 Ballard Avenue NW,0,1,1,1,1,,,,,,,,,
992,Doughnut Plant,(212) 505-3700,10011,NY,New York,220 W 23rd St,0,1,0,Doughnut Plant,(212) 675-9100,10011,NY,New York,220 Between 7th & 8th Avenue,0,1,0,1,1,,,,,,,,,
848,San Tung,(415) 242-0828,94122,CA,San Francisco,1031 Irving St,0,1,0,San Tung,(415) 242-0828,94122,CA,San Francisco,1031 Irving Street,1,1,0,1,1,,,,,,,,,
482,Aloha Eats,(773) 935-6828,60614,IL,Chicago,2534 N Clark St,1,1,0,Aloha Eats,(773) 935-6828,60614,IL,Chicago,2534 N. Clark Street,1,1,0,1,1,,,,,,,,,
483,Saigon Sandwich,(415) 474-5698,94102,CA,San Francisco,560 Larkin St,0,1,0,Saigon Sandwich,(415) 474-5698,94102,CA,San Francisco,560 Larkin Street,0,1,0,1,1,,,,,,,,,
996,Giano Restaurant,(212) 673-7200,10009,NY,New York,126 E 7th St,1,1,1,Giano,(212) 673-7200,10009,NY,New York,126 East 7th Street,0,1,1,1,1,,,,,,,,,
487,Hugo’s Frog Bar & Fish House,(312) 640-0999,60611,IL,Chicago,1024 N Rush St,0,1,1,Hugo's Frog Bar & Fish House,(312) 640-0999,60611,IL,Chicago,1024 N Rush Street,0,1,1,1,1,,,,,,,,,
1001,Artopolis,(312) 559-9000,60661,IL,Chicago,306 S Halsted St,0,1,0,Artopolis,(312) 559-9000,60661,IL,Chicago,306 S Halsted Street,0,1,0,1,1,,,,,,,,,
490,El Farolito,(415) 824-7877,94110,CA,San Francisco,2779 Mission St,0,1,0,El Farolito,(415) 824-7877,94110,CA,San Francisco,2779 Mission District Street,0,1,0,1,1,,,,,,,,,
491,El Farolito,(415) 641-0758,94110,CA,San Francisco,2950 24th St,0,1,0,El Farolito,(415) 824-7877,94110,CA,San Francisco,2779 Mission District Street,0,1,0,0,1,,,,,,,,,
1004,Mike’s Noodle House,(206) 389-7099,98104,WA,Seattle,418 Maynard Ave S,0,1,0,Mike's Noodle House,(206) 389-7099,98104,WA,Seattle,418 Maynard Avenue S,0,1,0,1,1,,,,,,,,,
494,Piece Brewery and Pizzeria,(773) 772-4422,60622,IL,Chicago,1927 W North Ave,1,1,0,Piece,(773) 772-4422,60622,IL,Chicago,1927 W North Avenue,1,1,0,1,1,,,,,,,,,
499,Duke’s Chowder House - Lake Union,(206) 382-9963,98109,WA,Seattle,901 Fairview Ave N,0,1,1,Duke's Chowder House,(206) 382-9963,98109,WA,Seattle,901 Fairview Avenue North,0,1,1,1,1,,,,,,,,,
501,Monsoon Seattle,(206) 325-2111,98112,WA,Seattle,615 19th Ave E,0,1,1,Monsoon,(206) 325-2111,98112,WA,Seattle,615 19th Avenue E,1,1,1,1,1,,,,,,,,,
1014,Keens Steakhouse,(212) 947-3636,10018,NY,New York,72 W 36th St,0,1,0,Keens Steakhouse,(212) 947-3636,10018,NY,New York,72 W 36th Street,0,1,0,1,1,,,,,,,,,
1015,Bandera Restaurant,(312) 644-3524,60611,IL,Chicago,535 N Michigan Ave,0,1,0,Bandera,(312) 644-3524,60611,IL,Chicago,535 N Michigan Avenue,0,1,0,1,1,,,,,,,,,
504,Bobtail Ice Cream Company,(773) 880-7372,60657,IL,Chicago,2951 N Broadway St,0,1,1,Bobtail Ice Cream Company,(773) 880-7372,60657,IL,Chicago,2951 North Broadway Street,0,1,1,1,1,,,,,,,,,
506,Malatesta Trattoria,(212) 741-1207,10014,NY,New York,649 Washington St,0,1,1,Malatesta Trattoria,(212) 741-1207,10014,NY,New York,649 Washington Street,0,0,1,1,1,,,,,,,,,
